2022-06-21 18:51:11,409 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@43f17364: startup date [Tue Jun 21 18:51:11 CEST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2022-06-21 18:51:14,599 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Abhi\Desktop\Disys-SemesterProject\Queue\apache-activemq-5.16.5\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-06-21 18:51:14,940 | INFO  | PListStore:[C:\Users\Abhi\Desktop\Disys-SemesterProject\Queue\apache-activemq-5.16.5\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2022-06-21 18:51:15,211 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-61018-1655830274972-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-06-21 18:51:15,276 | INFO  | Listening for connections at: tcp://DESKTOP-9N93JCG:6616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-06-21 18:51:15,282 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-21 18:51:15,303 | INFO  | Listening for connections at: amqp://DESKTOP-9N93JCG:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-06-21 18:51:15,315 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-21 18:51:15,346 | INFO  | Listening for connections at: stomp://DESKTOP-9N93JCG:6613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-06-21 18:51:15,353 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-21 18:51:15,374 | INFO  | Listening for connections at: mqtt://DESKTOP-9N93JCG:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-06-21 18:51:15,385 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-21 18:51:15,422 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-06-21 18:51:15,735 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-06-21 18:51:16,062 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@136db75e{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2022-06-21 18:51:16,643 | INFO  | Listening for connections at ws://DESKTOP-9N93JCG:6614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2022-06-21 18:51:16,645 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-21 18:51:16,648 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-61018-1655830274972-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-06-21 18:51:16,649 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-06-21 18:51:19,180 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2022-06-21 18:51:19,182 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2022-06-23 12:58:15,924 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp1956674237-52
2022-06-23 13:42:54,185 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | Session-HouseKeeper-14c12b40-1
2022-06-23 15:23:31,621 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-61018-1655830274972-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-21
2022-06-23 15:23:31,662 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-21
2022-06-23 15:23:31,674 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-21
2022-06-23 15:23:31,677 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: amqp://0.0.0.0:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2022-06-23 15:23:31,689 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: stomp://0.0.0.0:6613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2022-06-23 15:23:31,704 | INFO  | Could not accept connection during shutdown  : null (null) | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: stomp://0.0.0.0:6613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2022-06-23 15:23:31,687 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-21
2022-06-23 15:23:31,699 | INFO  | Could not accept connection during shutdown  : null (null) | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: amqp://0.0.0.0:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2022-06-23 15:23:31,724 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: mqtt://0.0.0.0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2022-06-23 15:23:31,723 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-21
2022-06-23 15:23:31,738 | INFO  | Could not accept connection during shutdown  : null (null) | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: mqtt://0.0.0.0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2022-06-23 15:23:31,884 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-21
2022-06-23 15:23:31,931 | INFO  | PListStore:[C:\Users\Abhi\Desktop\Disys-SemesterProject\Queue\apache-activemq-5.16.5\bin\win64\..\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-21
2022-06-23 15:23:31,941 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-21
2022-06-23 15:23:31,945 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-21
2022-06-23 15:23:31,949 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-21
2022-06-23 15:23:32,038 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-61018-1655830274972-0:1) uptime 1 day 20 hours | org.apache.activemq.broker.BrokerService | Thread-21
2022-06-23 15:23:32,042 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-61018-1655830274972-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-21
2022-06-23 15:23:32,055 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@43f17364: startup date [Tue Jun 21 18:51:11 CEST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-21
